 ,Area,Mean,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,7990272,89.966,43,0,255,1224.000,1632.000,1295.445,1406.341,11424,0,0,2448,3264,3683.030,2762.272,90,0.769,4080.000,718855556.000,72,0.891,0.050,0,718855556.000,1,0,0,126.870,2448,1.333,0.750,1.000
2,12000000,104.361,125,1,255,2000.000,1500.000,1982.159,1415.634,14000,0,0,4000,3000,4513.517,3385.138,0,0.769,5000.000,1252335831.000,102,0.375,-0.080,0,1252335831.000,1,0,0,143.130,3000,1.333,0.750,1.000
3,175200,120.611,255,7,255,182.500,240.000,186.941,241.816,1690,0,0,365,480,541.622,411.858,90,0.771,603.013,21130975.000,114,0.485,-0.350,0,21130975.000,1,0,0,127.250,365,1.315,0.760,1.000
4,1500800,128.073,253,0,255,469.000,800.000,445.354,657.091,5076,0,0,938,1600,1805.407,1058.420,90,0.732,1854.682,192212472.000,122,0.350,-0.917,0,192212472.000,1,0,0,120.381,938,1.706,0.586,1.000
5,1708800,93.201,20,0,255,800.000,534.000,887.031,405.303,5336,0,0,1600,1068,1805.407,1205.109,0,0.754,1923.701,159261596.000,65,0.453,-1.264,0,159261596.000,1,0,0,146.277,1068,1.498,0.668,1.000
6,1800000,82.501,1,0,255,800.000,562.500,721.689,598.323,5450,0,0,1600,1125,1805.407,1269.427,0,0.762,1955.920,148502250.000,62,0.918,-0.200,0,148502250.000,1,0,0,144.888,1125,1.422,0.703,1.000
7,1920000,116.745,57,0,255,600.000,800.000,568.224,864.850,5600,0,0,1200,1600,1805.407,1354.055,90,0.769,2000.000,224150998.000,99,0.509,-0.892,0,224150998.000,1,0,0,126.870,1200,1.333,0.750,1.000
8,1481600,134.237,143,0,255,800.000,463.000,722.577,468.494,5052,0,0,1600,926,1805.407,1044.879,0,0.729,1848.642,198884997.000,135,-0.049,-0.664,0,198884997.000,1,0,0,149.940,926,1.728,0.579,1.000
9,1918400,97.107,36,0,255,800.000,599.500,805.528,496.310,5598,0,0,1600,1199,1805.407,1352.927,0,0.769,1999.400,186290376.000,65,0.437,-1.428,0,186290376.000,1,0,0,143.153,1199,1.334,0.749,1.000
10,1705600,55.133,36,0,255,800.000,533.000,761.034,525.685,5332,0,0,1600,1066,1805.407,1202.852,0,0.754,1922.591,94034732.000,41,2.253,4.750,0,94034732.000,1,0,0,146.326,1066,1.501,0.666,1.000
11,1918400,102.413,25,0,255,800.000,599.500,832.428,626.528,5598,0,0,1600,1199,1805.407,1352.927,0,0.769,1999.400,196469598.000,95,0.459,-0.639,0,196469598.000,1,0,0,143.153,1199,1.334,0.749,1.000
12,1899200,106.097,254,0,255,800.000,593.500,756.433,548.084,5574,0,0,1600,1187,1805.407,1339.386,0,0.768,1992.227,201499064.000,94,0.528,-0.599,0,201499064.000,1,0,0,143.429,1187,1.348,0.742,1.000
13,7990272,129.443,145,0,253,1632.000,1224.000,1568.080,960.322,11424,0,0,3264,2448,3683.030,2762.272,0,0.769,4080.000,1034288736.000,144,-0.375,-1.210,0,1034288736.000,1,0,0,143.130,2448,1.333,0.750,1.000
14,7990272,121.072,255,0,255,1632.000,1224.000,1378.474,918.821,11424,0,0,3264,2448,3683.030,2762.272,0,0.769,4080.000,967396588.000,92,0.552,-1.141,0,967396588.000,1,0,0,143.130,2448,1.333,0.750,1.000
15,7990272,121.204,255,2,255,1632.000,1224.000,1943.079,1088.887,11424,0,0,3264,2448,3683.030,2762.272,0,0.769,4080.000,968456201.000,108,0.450,-0.916,0,968456201.000,1,0,0,143.130,2448,1.333,0.750,1.000
16,7990272,107.415,18,0,255,1632.000,1224.000,1721.130,1153.836,11424,0,0,3264,2448,3683.030,2762.272,0,0.769,4080.000,858271413.000,100,0.137,-1.660,0,858271413.000,1,0,0,143.130,2448,1.333,0.750,1.000
17,7990272,73.986,17,0,255,1632.000,1224.000,1764.073,934.814,11424,0,0,3264,2448,3683.030,2762.272,0,0.769,4080.000,591167526.000,61,1.238,0.948,0,591167526.000,1,0,0,143.130,2448,1.333,0.750,1.000
18,7990272,157.923,149,9,224,1632.000,1224.000,1568.539,1151.311,11424,0,0,3264,2448,3683.030,2762.272,0,0.769,4080.000,1261849031.000,158,-0.606,2.580,0,1261849031.000,1,0,0,143.130,2448,1.333,0.750,1.000
